"id";"kap_id";"kapitel";"tab_id";"tabelle";"jahr";"raum_id";"raum";"zei_id";"zeile";"quelle";"linktabellenkommentar";"zahl"
"015.010.2006.603.060";"015";"Haushalte";"010";"Haushalte in Köln";"2006";"603";"Seeberg";"60";" 5 und mehr Personen";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"363.00"
"015.010.2006.604.010";"015";"Haushalte";"010";"Haushalte in Köln";"2006";"604";"Heimersdorf";"10";"Haushalte in Köln";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"2653.00"
"015.010.2006.604.020";"015";"Haushalte";"010";"Haushalte in Köln";"2006";"604";"Heimersdorf";"20";"davon mit 1 Person";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"847.00"
"015.010.2006.604.030";"015";"Haushalte";"010";"Haushalte in Köln";"2006";"604";"Heimersdorf";"30";" 2 Personen";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"972.00"
"015.010.2006.604.040";"015";"Haushalte";"010";"Haushalte in Köln";"2006";"604";"Heimersdorf";"40";" 3 Personen";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"454.00"
"015.010.2006.604.050";"015";"Haushalte";"010";"Haushalte in Köln";"2006";"604";"Heimersdorf";"50";" 4 Personen";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"285.00"
"015.010.2006.604.060";"015";"Haushalte";"010";"Haushalte in Köln";"2006";"604";"Heimersdorf";"60";" 5 und mehr Personen";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"95.00"
"015.010.2006.605.010";"015";"Haushalte";"010";"Haushalte in Köln";"2006";"605";"Lindweiler";"10";"Haushalte in Köln";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"1473.00"
"015.010.2006.605.020";"015";"Haushalte";"010";"Haushalte in Köln";"2006";"605";"Lindweiler";"20";"davon mit 1 Person";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"408.00"
"015.010.2006.605.030";"015";"Haushalte";"010";"Haushalte in Köln";"2006";"605";"Lindweiler";"30";" 2 Personen";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"505.00"
"015.010.2006.605.040";"015";"Haushalte";"010";"Haushalte in Köln";"2006";"605";"Lindweiler";"40";" 3 Personen";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"267.00"
"015.010.2006.605.050";"015";"Haushalte";"010";"Haushalte in Köln";"2006";"605";"Lindweiler";"50";" 4 Personen";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"178.00"
"015.010.2006.605.060";"015";"Haushalte";"010";"Haushalte in Köln";"2006";"605";"Lindweiler";"60";" 5 und mehr Personen";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"115.00"
"015.010.2006.606.010";"015";"Haushalte";"010";"Haushalte in Köln";"2006";"606";"Pesch";"10";"Haushalte in Köln";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"3623.00"
"015.010.2006.606.020";"015";"Haushalte";"010";"Haushalte in Köln";"2006";"606";"Pesch";"20";"davon mit 1 Person";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"1090.00"
"015.010.2006.606.030";"015";"Haushalte";"010";"Haushalte in Köln";"2006";"606";"Pesch";"30";" 2 Personen";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"1475.00"
"015.010.2006.606.040";"015";"Haushalte";"010";"Haushalte in Köln";"2006";"606";"Pesch";"40";" 3 Personen";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"584.00"
"015.010.2006.606.050";"015";"Haushalte";"010";"Haushalte in Köln";"2006";"606";"Pesch";"50";" 4 Personen";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"363.00"
"015.010.2006.606.060";"015";"Haushalte";"010";"Haushalte in Köln";"2006";"606";"Pesch";"60";" 5 und mehr Personen";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"111.00"
"015.010.2006.607.010";"015";"Haushalte";"010";"Haushalte in Köln";"2006";"607";"Esch/Auweiler";"10";"Haushalte in Köln";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"2858.00"
"015.010.2006.607.020";"015";"Haushalte";"010";"Haushalte in Köln";"2006";"607";"Esch/Auweiler";"20";"davon mit 1 Person";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"896.00"
"015.010.2006.607.030";"015";"Haushalte";"010";"Haushalte in Köln";"2006";"607";"Esch/Auweiler";"30";" 2 Personen";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"931.00"
"015.010.2006.607.040";"015";"Haushalte";"010";"Haushalte in Köln";"2006";"607";"Esch/Auweiler";"40";" 3 Personen";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"485.00"
"015.010.2006.607.050";"015";"Haushalte";"010";"Haushalte in Köln";"2006";"607";"Esch/Auweiler";"50";" 4 Personen";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"405.00"
"015.010.2006.607.060";"015";"Haushalte";"010";"Haushalte in Köln";"2006";"607";"Esch/Auweiler";"60";" 5 und mehr Personen";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"141.00"
"015.010.2006.608.010";"015";"Haushalte";"010";"Haushalte in Köln";"2006";"608";"Volkhoven/Weiler";"10";"Haushalte in Köln";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"2293.00"
"015.010.2006.608.020";"015";"Haushalte";"010";"Haushalte in Köln";"2006";"608";"Volkhoven/Weiler";"20";"davon mit 1 Person";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"558.00"
"015.010.2006.608.030";"015";"Haushalte";"010";"Haushalte in Köln";"2006";"608";"Volkhoven/Weiler";"30";" 2 Personen";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"677.00"
"015.010.2006.608.040";"015";"Haushalte";"010";"Haushalte in Köln";"2006";"608";"Volkhoven/Weiler";"40";" 3 Personen";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"438.00"
"015.010.2006.608.050";"015";"Haushalte";"010";"Haushalte in Köln";"2006";"608";"Volkhoven/Weiler";"50";" 4 Personen";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"390.00"
"015.010.2005.000.010";"015";"Haushalte";"010";"Haushalte in Köln";"2005";"000";"Stadt Köln";"10";"Haushalte in Köln";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"528823.00"
"015.010.2005.000.020";"015";"Haushalte";"010";"Haushalte in Köln";"2005";"000";"Stadt Köln";"20";"davon mit 1 Person";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"263176.00"
"015.010.2005.000.030";"015";"Haushalte";"010";"Haushalte in Köln";"2005";"000";"Stadt Köln";"30";" 2 Personen";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"143491.00"
"015.010.2005.000.040";"015";"Haushalte";"010";"Haushalte in Köln";"2005";"000";"Stadt Köln";"40";" 3 Personen";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"63333.00"
"015.010.2005.000.050";"015";"Haushalte";"010";"Haushalte in Köln";"2005";"000";"Stadt Köln";"50";" 4 Personen";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"41352.00"
"015.010.2005.000.060";"015";"Haushalte";"010";"Haushalte in Köln";"2005";"000";"Stadt Köln";"60";" 5 und mehr Personen";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"17471.00"
"015.010.2005.001.010";"015";"Haushalte";"010";"Haushalte in Köln";"2005";"001";"Innenstadt";"10";"Haushalte in Köln";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"83304.00"
"015.010.2005.001.020";"015";"Haushalte";"010";"Haushalte in Köln";"2005";"001";"Innenstadt";"20";"davon mit 1 Person";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"56550.00"
"015.010.2005.001.030";"015";"Haushalte";"010";"Haushalte in Köln";"2005";"001";"Innenstadt";"30";" 2 Personen";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"17080.00"
"015.010.2005.001.040";"015";"Haushalte";"010";"Haushalte in Köln";"2005";"001";"Innenstadt";"40";" 3 Personen";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"5716.00"
"015.010.2005.001.050";"015";"Haushalte";"010";"Haushalte in Köln";"2005";"001";"Innenstadt";"50";" 4 Personen";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"2945.00"
"015.010.2005.001.060";"015";"Haushalte";"010";"Haushalte in Köln";"2005";"001";"Innenstadt";"60";" 5 und mehr Personen";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"1013.00"
"015.010.2005.002.010";"015";"Haushalte";"010";"Haushalte in Köln";"2005";"002";"Rodenkirchen";"10";"Haushalte in Köln";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"50491.00"
"015.010.2005.002.020";"015";"Haushalte";"010";"Haushalte in Köln";"2005";"002";"Rodenkirchen";"20";"davon mit 1 Person";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"23910.00"
"015.010.2005.002.030";"015";"Haushalte";"010";"Haushalte in Köln";"2005";"002";"Rodenkirchen";"30";" 2 Personen";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"14396.00"
"015.010.2005.002.040";"015";"Haushalte";"010";"Haushalte in Köln";"2005";"002";"Rodenkirchen";"40";" 3 Personen";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"6305.00"
"015.010.2005.002.050";"015";"Haushalte";"010";"Haushalte in Köln";"2005";"002";"Rodenkirchen";"50";" 4 Personen";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"4218.00"
"015.010.2005.002.060";"015";"Haushalte";"010";"Haushalte in Köln";"2005";"002";"Rodenkirchen";"60";" 5 und mehr Personen";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"1662.00"
"015.010.2005.003.010";"015";"Haushalte";"010";"Haushalte in Köln";"2005";"003";"Lindenthal";"10";"Haushalte in Köln";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"77447.00"
"015.010.2005.003.020";"015";"Haushalte";"010";"Haushalte in Köln";"2005";"003";"Lindenthal";"20";"davon mit 1 Person";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"43200.00"
"015.010.2005.003.030";"015";"Haushalte";"010";"Haushalte in Köln";"2005";"003";"Lindenthal";"30";" 2 Personen";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"19597.00"
"015.010.2005.003.040";"015";"Haushalte";"010";"Haushalte in Köln";"2005";"003";"Lindenthal";"40";" 3 Personen";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"8092.00"
"015.010.2005.003.050";"015";"Haushalte";"010";"Haushalte in Köln";"2005";"003";"Lindenthal";"50";" 4 Personen";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"4912.00"
"015.010.2005.003.060";"015";"Haushalte";"010";"Haushalte in Köln";"2005";"003";"Lindenthal";"60";" 5 und mehr Personen";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"1646.00"
"015.010.2005.004.010";"015";"Haushalte";"010";"Haushalte in Köln";"2005";"004";"Ehrenfeld";"10";"Haushalte in Köln";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"54626.00"
"015.010.2005.004.020";"015";"Haushalte";"010";"Haushalte in Köln";"2005";"004";"Ehrenfeld";"20";"davon mit 1 Person";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"28416.00"
"015.010.2005.004.030";"015";"Haushalte";"010";"Haushalte in Köln";"2005";"004";"Ehrenfeld";"30";" 2 Personen";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"14073.00"
"015.010.2005.004.040";"015";"Haushalte";"010";"Haushalte in Köln";"2005";"004";"Ehrenfeld";"40";" 3 Personen";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"6294.00"
"015.010.2005.004.050";"015";"Haushalte";"010";"Haushalte in Köln";"2005";"004";"Ehrenfeld";"50";" 4 Personen";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"3990.00"
"015.010.2005.004.060";"015";"Haushalte";"010";"Haushalte in Köln";"2005";"004";"Ehrenfeld";"60";" 5 und mehr Personen";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"1853.00"
"015.010.2005.005.010";"015";"Haushalte";"010";"Haushalte in Köln";"2005";"005";"Nippes";"10";"Haushalte in Köln";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"56923.00"
"015.010.2005.005.020";"015";"Haushalte";"010";"Haushalte in Köln";"2005";"005";"Nippes";"20";"davon mit 1 Person";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"28553.00"
"015.010.2005.005.030";"015";"Haushalte";"010";"Haushalte in Köln";"2005";"005";"Nippes";"30";" 2 Personen";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"15773.00"
"015.010.2005.005.040";"015";"Haushalte";"010";"Haushalte in Köln";"2005";"005";"Nippes";"40";" 3 Personen";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"6666.00"
"015.010.2005.005.050";"015";"Haushalte";"010";"Haushalte in Köln";"2005";"005";"Nippes";"50";" 4 Personen";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"4162.00"
"015.010.2005.005.060";"015";"Haushalte";"010";"Haushalte in Köln";"2005";"005";"Nippes";"60";" 5 und mehr Personen";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"1769.00"
"015.010.2005.006.010";"015";"Haushalte";"010";"Haushalte in Köln";"2005";"006";"Chorweiler";"10";"Haushalte in Köln";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"33814.00"
"015.010.2005.006.020";"015";"Haushalte";"010";"Haushalte in Köln";"2005";"006";"Chorweiler";"20";"davon mit 1 Person";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"9656.00"
"015.010.2005.006.030";"015";"Haushalte";"010";"Haushalte in Köln";"2005";"006";"Chorweiler";"30";" 2 Personen";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"10949.00"
"015.010.2005.006.040";"015";"Haushalte";"010";"Haushalte in Köln";"2005";"006";"Chorweiler";"40";" 3 Personen";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"6162.00"
"015.010.2005.006.050";"015";"Haushalte";"010";"Haushalte in Köln";"2005";"006";"Chorweiler";"50";" 4 Personen";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"4736.00"
"015.010.2005.006.060";"015";"Haushalte";"010";"Haushalte in Köln";"2005";"006";"Chorweiler";"60";" 5 und mehr Personen";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"2311.00"
"015.010.2005.007.010";"015";"Haushalte";"010";"Haushalte in Köln";"2005";"007";"Porz";"10";"Haushalte in Köln";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"49982.00"
"015.010.2005.007.020";"015";"Haushalte";"010";"Haushalte in Köln";"2005";"007";"Porz";"20";"davon mit 1 Person";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"19300.00"
"015.010.2005.007.030";"015";"Haushalte";"010";"Haushalte in Köln";"2005";"007";"Porz";"30";" 2 Personen";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"16026.00"
"015.010.2005.007.040";"015";"Haushalte";"010";"Haushalte in Köln";"2005";"007";"Porz";"40";" 3 Personen";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"7548.00"
"015.010.2005.007.050";"015";"Haushalte";"010";"Haushalte in Köln";"2005";"007";"Porz";"50";" 4 Personen";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"5109.00"
"015.010.2005.007.060";"015";"Haushalte";"010";"Haushalte in Köln";"2005";"007";"Porz";"60";" 5 und mehr Personen";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"1999.00"
"015.010.2005.008.010";"015";"Haushalte";"010";"Haushalte in Köln";"2005";"008";"Kalk";"10";"Haushalte in Köln";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"51762.00"
"015.010.2005.008.020";"015";"Haushalte";"010";"Haushalte in Köln";"2005";"008";"Kalk";"20";"davon mit 1 Person";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"22821.00"
"015.010.2005.008.030";"015";"Haushalte";"010";"Haushalte in Köln";"2005";"008";"Kalk";"30";" 2 Personen";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"14854.00"
"015.010.2005.008.040";"015";"Haushalte";"010";"Haushalte in Köln";"2005";"008";"Kalk";"40";" 3 Personen";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"6915.00"
"015.010.2005.008.050";"015";"Haushalte";"010";"Haushalte in Köln";"2005";"008";"Kalk";"50";" 4 Personen";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"4845.00"
"015.010.2005.008.060";"015";"Haushalte";"010";"Haushalte in Köln";"2005";"008";"Kalk";"60";" 5 und mehr Personen";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"2327.00"
"015.010.2005.009.010";"015";"Haushalte";"010";"Haushalte in Köln";"2005";"009";"Mülheim";"10";"Haushalte in Köln";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"70474.00"
"015.010.2005.009.020";"015";"Haushalte";"010";"Haushalte in Köln";"2005";"009";"Mülheim";"20";"davon mit 1 Person";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"30770.00"
"015.010.2005.009.030";"015";"Haushalte";"010";"Haushalte in Köln";"2005";"009";"Mülheim";"30";" 2 Personen";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"20743.00"
"015.010.2005.009.040";"015";"Haushalte";"010";"Haushalte in Köln";"2005";"009";"Mülheim";"40";" 3 Personen";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"9635.00"
"015.010.2005.009.050";"015";"Haushalte";"010";"Haushalte in Köln";"2005";"009";"Mülheim";"50";" 4 Personen";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"6435.00"
"015.010.2005.009.060";"015";"Haushalte";"010";"Haushalte in Köln";"2005";"009";"Mülheim";"60";" 5 und mehr Personen";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"2891.00"
"015.010.2005.101.010";"015";"Haushalte";"010";"Haushalte in Köln";"2005";"101";"Altstadt/Süd";"10";"Haushalte in Köln";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"17971.00"
"015.010.2005.101.020";"015";"Haushalte";"010";"Haushalte in Köln";"2005";"101";"Altstadt/Süd";"20";"davon mit 1 Person";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"12448.00"
"015.010.2005.101.030";"015";"Haushalte";"010";"Haushalte in Köln";"2005";"101";"Altstadt/Süd";"30";" 2 Personen";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"3607.00"
"015.010.2005.101.040";"015";"Haushalte";"010";"Haushalte in Köln";"2005";"101";"Altstadt/Süd";"40";" 3 Personen";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"1114.00"
"015.010.2005.101.050";"015";"Haushalte";"010";"Haushalte in Köln";"2005";"101";"Altstadt/Süd";"50";" 4 Personen";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"555.00"
"015.010.2005.101.060";"015";"Haushalte";"010";"Haushalte in Köln";"2005";"101";"Altstadt/Süd";"60";" 5 und mehr Personen";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"247.00"
"015.010.2005.102.010";"015";"Haushalte";"010";"Haushalte in Köln";"2005";"102";"Neustadt/Süd";"10";"Haushalte in Köln";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"24689.00"
"015.010.2005.102.020";"015";"Haushalte";"010";"Haushalte in Köln";"2005";"102";"Neustadt/Süd";"20";"davon mit 1 Person";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"16942.00"
"015.010.2005.102.030";"015";"Haushalte";"010";"Haushalte in Köln";"2005";"102";"Neustadt/Süd";"30";" 2 Personen";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"4833.00"
